Date,Price,Open,High,Low,Vol.,Change %
7/6/2017,118.15,120.23,120.53,118.15,444.55K,-1.83%
7/7/2017,118.53,118.15,118.65,117.72,399.38K,0.32%
7/10/2017,117.21,118.73,119.34,117.21,367.64K,-1.11%
7/11/2017,117.85,117.46,118.24,116.2,437.78K,0.55%
7/12/2017,119.06,118.63,119.86,118.22,459.14K,1.03%
7/13/2017,118.73,119.19,119.5,118.6,315.93K,-0.28%
7/14/2017,120.04,118.77,120.09,118.77,273.05K,1.10%
7/17/2017,121.13,120.02,121.23,118.44,323.33K,0.91%
7/18/2017,120.7,121.14,121.28,120.06,387.38K,-0.35%
7/19/2017,122.09,120.91,122.17,120.65,343.61K,1.15%
7/20/2017,122.07,122.08,123.18,121.95,556.10K,-0.02%
7/21/2017,121,122.03,122.83,120.46,742.17K,-0.88%
7/24/2017,120.52,120.99,121.34,120.5,788.84K,-0.40%
7/25/2017,120.14,120.83,121.18,119.8,435.04K,-0.32%
7/26/2017,120.82,120.29,121.12,119.62,327.49K,0.57%
7/27/2017,120.85,120.47,121.14,119.64,410.90K,0.02%
7/28/2017,120.4,120.83,121.34,120.16,382.11K,-0.37%
7/31/2017,121.25,120.77,121.28,120.01,467.16K,0.71%
8/1/2017,121.01,121.69,123.89,120.5,538.78K,-0.20%
8/2/2017,120.52,120.54,121.31,120.04,312.02K,-0.40%
8/3/2017,120.78,120.34,121.84,119.54,388.71K,0.22%
8/4/2017,120.61,120.92,122.21,120.27,353.77K,-0.14%
8/7/2017,120.58,120.66,120.72,119.55,331.70K,-0.02%
8/8/2017,120.62,119.99,120.98,119.76,369.83K,0.03%
8/9/2017,120.83,120.59,121.41,120.4,278.76K,0.17%
8/10/2017,119.89,120.6,120.73,119.62,352.88K,-0.78%
8/11/2017,119.55,119.68,120.39,119.05,296.73K,-0.28%
8/14/2017,121.74,120.06,122.11,120.06,350.39K,1.83%
8/15/2017,121.48,121.45,121.65,120.74,394.50K,-0.21%
8/16/2017,121.9,121.73,122.17,121.37,375.24K,0.35%
8/17/2017,121.67,121.86,122.65,121.65,350.44K,-0.19%
8/18/2017,120.01,121.39,121.39,119.42,565.85K,-1.36%
8/21/2017,121.09,120.28,121.2,119.93,595.43K,0.90%
8/22/2017,120.06,121.05,121.49,119.83,641.12K,-0.85%
8/23/2017,120.95,120.03,121.18,119.69,725.28K,0.74%
8/24/2017,121.27,121.23,122.33,120.98,1.28M,0.26%
8/25/2017,120.49,121.9,122,120.49,485.04K,-0.64%
8/28/2017,119.3,120.7,120.87,118.89,772.20K,-0.99%
